0000;44;reæ:rê:resz:re:remy:recie:r±:ryj:ryjmy:ryjcie:r±c:r±cy:ar³em:ar³e¶:ar³:ar³am:ar³a¶:ar³a:ar³om:ar³o¶:ar³o:arli¶my:arli¶cie:arli:ar³y¶my:ar³y¶cie:ar³y:ar³bym:ar³by¶:ar³by:ar³abym:ar³aby¶:ar³aby:ar³obym:ar³oby¶:ar³oby:arliby¶my:arliby¶cie:arliby:ar³yby¶my:ar³yby¶cie:ar³yby:arto:arty:;
0001;06;ki:ków:kom:kami:kach:ek:;
0002;43;iæ:iê:isz:i:imy:icie:i±::my:cie:i³em:i³e¶:i³:i³am:i³a¶:i³a:i³om:i³o¶:i³o:ili¶my:ili¶cie:ili:i³y¶my:i³y¶cie:i³y:i³bym:i³by¶:i³by:i³abym:i³aby¶:i³aby:i³obym:i³oby¶:i³oby:iliby¶my:iliby¶cie:iliby:i³yby¶my:i³yby¶cie:i³yby:iono:iony:iwszy:;
0003;43;iæ:iê:isz:i:imy:icie:i±::my:cie:i³em:i³e¶:i³:i³am:i³a¶:i³a:i³om:i³o¶:i³o:ili¶my:ili¶cie:ili:i³y¶my:i³y¶cie:i³y:i³bym:i³by¶:i³by:i³abym:i³aby¶:i³aby:i³obym:i³oby¶:i³oby:iliby¶my:iliby¶cie:iliby:i³yby¶my:i³yby¶cie:i³yby:iono:iwszy:iony:;
0004;11;³:³u:³owi:³em:le:³y:³ów:³om:³ami:³ach:³a:;
0005;41;aæ:eje:a³o:a³oby:ejê:ejesz:ejemy:ejecie:ej±:ej:ejmy:ejcie:a³em:a³e¶:a³:a³am:a³a¶:a³a:a³om:a³o¶:ali¶my:ali¶cie:ali:a³y¶my:a³y¶cie:a³y:a³bym:a³by¶:a³by:a³abym:a³aby¶:a³aby:a³obym:a³oby¶:aliby¶my:aliby¶cie:aliby:a³yby¶my:a³yby¶cie:a³yby:ano:;
0006;12;a:ej:±:o:e:ych:ym:ymi:y:ie:ê:om:;
0007;10;ew:wu:wowi:wem:wie:wy:wów:wom:wami:wach:;
0008;05;na:ien:nom:nami:nach:;
0009;74;n±æ:nê:niesz:nie:niemy:niecie:n±:nij:nijmy:nijcie:³em:³e¶:³:³am:³a¶:³a:³om:³o¶:³o:li¶my:li¶cie:li:³y¶my:³y¶cie:³y:³bym:³by¶:³by:³abym:³aby¶:³aby:³obym:³oby¶:³oby:liby¶my:liby¶cie:liby:³yby¶my:³yby¶cie:³yby:niêto:³szy:n±³em:n±³e¶:n±³:nê³am:nê³a¶:nê³a:nê³om:nê³o¶:nê³o:nêli¶my:nêli¶cie:nêli:nê³y¶my:nê³y¶cie:nê³y:n±³bym:n±³by¶:n±³by:nê³abym:nê³aby¶:nê³aby:nê³obym:nê³oby¶:nê³oby:nêliby¶my:nêliby¶cie:nêliby:nê³yby¶my:nê³yby¶cie:nê³yby:niêty:n±wszy:;
